yourlist:M20201204A94466D2655679D1FD8953E075198DA81C43253	Entry
BACE1	Q6YBQ9
BACE1	Q8IYC8
BACE1	U3KPS1
BACE2	Q9Y5Z0
BCHE	D3DNN4
BCHE	F8WEX7
BCHE	F8WF14
BCHE	H0Y885
BCHE	H7C4Y0
BCHE	P06276
BCHE	Q96HL2
BCR	A0A024R1B9
BCR	A0A0U4EGU4
BCR	A0A173G4P0
BCR	A0A173G4P4
BCR	A0A2X0SFQ7
BCR	H0Y554
BCR	P11274
BCR	Q12843
BCR	Q12844
BCR	Q12845
BCR	Q5XJ20
BCR	Q6QJE3
BCR	Q6QJE4
BCR	Q6QJE5
BCR	Q6QJE6
BCR	Q6QJE7
BCR	Q6QJE8
BCR	Q6QJE9
BDNF	A0A0E3SU01
BDNF	A0A0S2Z3E7
BDNF	A0A0S2Z3M9
BDNF	E9PMP3
BDNF	P23560
BDNF	Q304R1
BDNF	Q6T2C9
BDNF	Q6YNR1
BIN1	A0A024RAE9
BIN1	A0A024RAF0
BIN1	A0A024RAF1
BIN1	A0A024RAF6
BIN1	A0A024RAG8
BIN1	A0A024RAG9
BIN1	A0A024RAI4
BIN1	A0A024RAI5
BIN1	A0A024RAI6
BIN1	A0A024RAJ2
BIN1	A0A024RAJ3
BIN1	O00499
BIN1	Q9BTH3
BLMH	J3KS79
BLMH	J3KSD8
BLMH	K7EMJ3
BLMH	K7ENH5
BLMH	K7ES02
BLMH	K7ESE8
BLMH	Q13867
C4A	A0A0G2JPR0
C4A	A0A140TA32
C4A	A0A140TA44
C4A	A0A140TA49
C4A	P0C0L4
C4A	Q30211
C4A	Q6U2K2
C4A	V9H0D6
C4B	A0A0G2JL54
C4B	A0A140TA29
C4B	A0A3B3ISA6
C4B	A0A3B3ISD7
C4B	F5GXS0
C4B	P0C0L5
C4B	Q6U2E0
C4B	Q6U2E7
C4B	Q6U2H4
C4B	Q6U2L6
C4B	Q6U2M2
C4B	Q9UMV1
C4B	Q9UNU2
C4B	R9QA77
C9orf72	A0A2R8Y5K2
C9orf72	A0A2R8Y5U5
C9orf72	A0A5F9ZHW7
C9orf72	Q96LT7
CADPS2	A0A087X1P3
CADPS2	B7ZM57
CADPS2	C9IYE1
CADPS2	F8W8P5
CADPS2	H0Y8B5
CADPS2	H7BYR4
CADPS2	L8E7C0
CADPS2	L8E9J4
CADPS2	Q86UW7
CADPS2	X5D2D4
CADPS2	X5D2D9
CADPS2	X5D321
CADPS2	X5D7B2
CADPS2	X5D8W6
CADPS2	X5D8X0
CADPS2	X5DNG0
CADPS2	X5DQT2
CALHM1	Q8IU99
CAMK2D	D6R938
CAMK2D	E9PBG7
CAMK2D	E9PF82
CAMK2D	H0Y9C2
CAMK2D	H0Y9J2
CAMK2D	Q13557
CAMK2D	Q4G1A8
CAND1	A0A0C4DGH5
CAND1	F5H6I6
CAND1	H0YH27
CAND1	Q86VP6
CARD8	A0A024QZD3
CARD8	B5KVR7
CARD8	B5KVR8
CARD8	E5RFI5
CARD8	E5RFV9
CARD8	E5RGC9
CARD8	E5RGG3
CARD8	E5RHJ3
CARD8	E5RHZ3
CARD8	E5RIN1
CARD8	E5RJG3
CARD8	H0YB90
CARD8	H0YBW7
CARD8	I6L9C6
CARD8	Q9Y2G2
CASR	A0A1X7SBX3
CASR	B6VB31
CASR	P41180
CASR	Q2F3K1
CASR	Q2F3K2
CASR	Q2F3K3
CASR	Q2F3K4
CASR	Q2F3K5
CASR	Q2F3K6
CASR	Q86UN7
CASS4	Q9NQ75
CAV1	A0A024R757
CAV1	C9JKI3
CAV1	E9PCT5
CAV1	F8WDM7
CAV1	L8EC89
CAV1	Q03135
CAV1	Q2TNI1
CBS	C9JMA6
CBS	H7C1W6
CBS	H7C2H4
CBS	H7C2W0
CBS	P35520
CBS	Q5CCK6
CBS	Q5CCK7
CCL2	J3KRT7
CCL2	P13500
CCL3	A0N0R1
CCL3	P10147
CCNT1	A0A1W2PQ16
CCNT1	O60563
CCR2	A0A024R2Q0
CCR2	B4XH68
CCR2	B4XH69
CCR2	E9PH76
CCR2	L7RER4
CCR2	L7REX9
CCR2	P41597
CD14	D6RD81
CD14	D6RFL4
CD14	E7EVL5
CD14	F1C4A7
CD14	P08571
CD2AP	Q9Y5K6
CD33	A0A173G4N9
CD33	B4DF51
CD33	P20138
CD33	Q546G0
CD36	A0A0A1EAI1
CD36	A0A0A1ED81
CD36	A0A0G3VPD9
CD36	A0A0G3VQ57
CD36	A0A0G3VR70
CD36	A0A0G3VRE1
CD36	A0A0G3VSQ7
CD36	A0A0H3WBE8
CD36	A0A0H3WC42
CD36	A0A0H3WDH4
CD36	A0A0H3WDK6
CD36	A0A0H3WE82
CD36	A0A0S2Z3J6
CD36	A0A0S2Z452
CD36	A0A2D1WBA2
CD36	A0A516AFI0
CD36	A4D1B1
CD36	D9IX63
CD36	D9IX64
CD36	D9IX65
CD36	E7ERZ9
CD36	E7EU05
CD36	E7EVU1
CD36	E7EWI4
CD36	E7EX47
CD36	E9PC45
CD36	E9PJX8
CD36	E9PLT1
CD36	H0YEE7
CD36	P16671
CD36	Q13965
CD36	V5M404
CD44	A0A1W2PR55
CD44	A0A1Z1VXF2
CD44	A0A385KNS5
CD44	C0STK4
CD44	C1PHC2
CD44	C1PHC3
CD44	C1PHC4
CD44	C1PHE6
CD44	E9PKC6
CD44	H0Y2P0
CD44	H0Y5E4
CD44	H0YCL4
CD44	H0YCV9
CD44	H0YD13
CD44	H0YD17
CD44	H0YD90
CD44	H0YDV8
CD44	H0YDW7
CD44	H0YDX6
CD44	H0YE40
CD44	H0YEA1
CD44	H0YES0
CD44	H0YEU1
CD44	H0YEV3
CD44	H0YF08
CD44	J3KN83
CD44	O95658
CD44	O95659
CD44	P16070
CD44	Q86UZ1
CD44	Q99900
CD44	Q9P2Z2
CDH11	A0A087X227
CDH11	H3BP26
CDH11	H3BPQ2
CDH11	H3BQB5
CDH11	H3BQH2
CDH11	H3BR78
CDH11	H3BSM4
CDH11	H3BUU9
CDH11	P55287
CDH11	Q96CZ9
CDK1	A0A024QZP7
CDK1	A0A087WZZ9
CDK1	E5RIU6
CDK1	P06493
CDK5	A0A090N7W4
CDK5	A0A0S2Z355
CDK5	Q00535
CDK5	Q6IAW3
CDK5R1	J3QRB5
CDK5R1	Q15078
CDK5R1	Q8N619
CDK5R1	Q8TAM4
CDKN2A	A7LNE7
CDKN2A	D1LYX3
CDKN2A	J3QRG6
CDKN2A	K7ENC6
CDKN2A	K7ES20
CDKN2A	K7PML8
CDKN2A	L8E941
CDKN2A	P42771
CDKN2A	Q208B5
CDKN2A	Q2MJK0
CDKN2A	Q5ZEY9
CDKN2A	Q8N726
CDKN2A	Q9UPB7
CELF1	E9PKA1
CELF1	E9PKU1
CELF1	E9PQK4
CELF1	E9PSH0
CELF1	F5H0D8
CELF1	F5H3J7
CELF1	F5H4Y5
CELF1	F5H7M7
CELF1	G5EA30
CELF1	Q92879
CELF2	A0A0J9YX66
CELF2	A0A0J9YXJ0
CELF2	A0A0J9YXK1
CELF2	A0A1B0GU44
CELF2	A0A1B0GUN8
CELF2	E9PC62
CELF2	O95319
CELF2	Q5VZZ6
CELF2	V9GY47
CELF2	V9GYD9
CETP	A0A0S2Z3F6
CETP	A0A0S2Z3I8
CETP	F4YZX8
CETP	H3BRJ9
CETP	P11597
CETP	Q8IWL9
CETP	Q9H4L8
CFH	A0A0D9SG88
CFH	P08603
CFH	Q5TFM2
CFH	U5TZG9
CH25H	O95992
CHAT	A0A1W2PP46
CHAT	A0A1W2PRG4
CHAT	D3DX95
CHAT	P28329
CHAT	Q6LEN5
CHAT	Q6LEN6
CHAT	R4GN13
CHRFAM7A	A0A0A6YYA8
CHRFAM7A	A0A0G2JMC1
CHRFAM7A	A0A0G2JNX5
CHRFAM7A	H3BPP0
CHRFAM7A	Q494W8
CHRNA3	D3DW87
CHRNA3	H0YNF9
CHRNA3	P32297
CHRNA3	Q6EWN2
CHRNA4	A0A0D9SFU6
CHRNA4	A0A6Q8PG41
CHRNA4	H0YBH1
CHRNA4	P43681
CHRNA4	Q4VAQ3
CHRNA4	Q5EIU9
CHRNA4	Q5EIV0
CHRNA4	Q5RLM1
CHRNA7	A0A1B0GTE0
CHRNA7	A0A1B0GTT0
CHRNA7	A0A1B0GTT9
CHRNA7	A0A1B0GU04
CHRNA7	A0A1B0GU11
CHRNA7	A0A1B0GU56
CHRNA7	A0A1B0GU93
CHRNA7	A0A1B0GUR5
CHRNA7	A0A1B0GV25
CHRNA7	A0A1B0GV43
CHRNA7	A0A1B0GV44
CHRNA7	A0A1B0GV86
CHRNA7	A0A1B0GVH2
CHRNA7	A0A1B0GVI5
CHRNA7	A0A1B0GVN6
CHRNA7	A0A1B0GVP9
CHRNA7	A0A1B0GW47
CHRNA7	A0A1B0GW52
CHRNA7	A0A1B0GWH1
CHRNA7	A0A1W2PN81
CHRNA7	P36544
CHRNA7	Q5W554
CHRNA7	Q693P7
CHRNB2	A0A1B0GTH5
CHRNB2	A0A1B0GUQ6
CHRNB2	A0A1B0GVD7
CHRNB2	P17787
CHRNB2	Q5SXY3
CLOCK	C9JK03
CLOCK	O15516
CLOCK	Q3ZCT4
CLOCK	Q8N757
CLOCK	Q8TAB0
CLSTN2	Q9H4D0
CLU	E5RG36
CLU	E5RGB0
CLU	E5RH61
CLU	E5RJD6
CLU	E5RJZ5
CLU	E7ERK6
CLU	E7ETB4
CLU	H0YAS8
CLU	H0YC35
CLU	H0YLK8
CLU	P10909
CLU	Q8IWM0
CLUAP1	I3L0L1
CLUAP1	I3L121
CLUAP1	I3L1J4
CLUAP1	I3L257
CLUAP1	I3L2E1
CLUAP1	I3L3S9
CLUAP1	I3L455
CLUAP1	I3L487
CLUAP1	J3KNW5
CLUAP1	Q96AJ1
COL11A1	A0A0U1RRA7
COL11A1	A0A2R8Y4I5
COL11A1	A0A2R8Y4M5
COL11A1	A0A2R8Y5N4
COL11A1	A0A2R8YDU3
COL11A1	C9JMN2
COL11A1	D3DT71
COL11A1	D3DT72
COL11A1	H7C381
COL11A1	P12107
COL11A1	Q4FAC4
COL11A1	Q5IKE6
COL11A1	Q5IKE9
COL11A1	Q5IKF0
COL11A1	Q5XNW0
COL11A1	Q5XNW2
COL25A1	A0A087WZJ5
COL25A1	A0A087X1E1
COL25A1	A0A2R8Y760
COL25A1	A8MWQ5
COL25A1	D6R8Y2
COL25A1	E9PNV9
COL25A1	H0YAE1
COL25A1	Q4W5I4
COL25A1	Q8NE08
COL25A1	Q9BXS0
COMT	A0A1S6YJG6
COMT	A0A286SD53
COMT	A0A4D6GI07
COMT	A0A4D6GI32
COMT	A0A4D6GI39
COMT	A0A4D6GI41
COMT	A0A4D6GI48
COMT	A0A4D6GI63
COMT	A0A4D6GI65
COMT	A0A4D6GI75
COMT	A0A4D6GI82
COMT	A0A4D6GIA3
COMT	A0A4D6GIK3
COMT	A0A4D6GIL3
COMT	A0A4D6GIW7
COMT	A0A4D6GKQ6
COMT	A0A4D6GKX6
COMT	A0A4D6GL01
COMT	A0A4D6GL07
COMT	A0A4D6GL81
COMT	A3F6Y9
COMT	A3F7Q5
COMT	A3F7Q6
COMT	B8XPJ7
COMT	B8XPJ8
COMT	E7EMS6
COMT	E7EUU8
COMT	F2WW53
COMT	F2WW55
COMT	F8WBW9
COMT	H7BZ45
COMT	P21964
COX10	A0A590UJJ5
COX10	H7C101
COX10	J3KRW4
COX10	J3KSJ3
COX10	Q12887
COX15	Q7KZN9
CR1	A0A2S1GUW1
CR1	A0A2S1GUW8
CR1	A0A346RCT4
CR1	A0A346RD54
CR1	A0A346RD63
CR1	A0A346RD80
CR1	A0A346RD82
CR1	E9PDY4
CR1	E9PQN4
CR1	H0YE06
CR1	P17927
CR1	Q5SBJ5
CR1	Q5SBJ6
CR1	Q5SBJ7
CR1	Q5SBJ8
CR1	Q5SBJ9
CR1	Q5SBK0
CR1	Q5SBK1
CR1	Q5SBK2
CR1	Q5SBK3
CR1	Q5SBK4
CR1	Q5SBK5
CR1	Q5SBK6
CR1	Q5SR44
CR1	Q9HB98
CR1	Q9HB99
CR1	Q9HC54
CR1	Q9HC55
CR1	V6EYC3
CST3	P01034
CTNNA3	A8K141
CTNNA3	F2Z2R0
CTNNA3	L8E9K0
CTNNA3	Q5SW23
CTNNA3	Q6XYS1
CTNNA3	Q8WW10
CTNNA3	Q9UI47
CTNNA3	V9GYW4
CTSD	A0A0S2Z3L4
CTSD	A0A1B0GV01
CTSD	A0A1B0GV23
CTSD	A0A1B0GVD5
CTSD	A0A1B0GVP3
CTSD	A0A1B0GW44
CTSD	A0A1B0GWE8
CTSD	C9JH19
CTSD	F8W787
CTSD	F8WD96
CTSD	H7C1V0
CTSD	P07339
CTSD	V9HWI3
CTSS	P25774
CTSS	U3KPS4
CTSS	U3KQE7
CXCL8	A0A024RDA5
CXCL8	C9J4T6
CXCL8	P10145
CYP11B1	A9UF29
CYP11B1	D2KC07
CYP11B1	H0YBR4
CYP11B1	P15538
CYP11B1	Q4VAR0
CYP11B1	Q8TE38
CYP11B1	Q8TE39
CYP11B1	Q8TE40
CYP11B1	Q8TE41
CYP19A1	A0A024R5S8
CYP19A1	A0A087WVQ0
CYP19A1	E7EPL6
CYP19A1	E7EQ08
CYP19A1	E9PGZ6
CYP19A1	H0YK57
CYP19A1	H0YKN1
CYP19A1	H0YLP1
CYP19A1	H0YLS2
CYP19A1	H0YNJ7
CYP19A1	P11511
CYP19A1	Q05CU4
CYP19A1	Q45RG7
CYP19A1	Q7Z471
CYP19A1	Q8IYG4
CYP2D6	A0A0F7KYR9
CYP2D6	A0A0F7KZW3
CYP2D6	A0A0F7L0X4
CYP2D6	A0A0G2JLK7
CYP2D6	A0A0G2JSD7
CYP2D6	A0A1B0GU72
CYP2D6	A0A1B0GUD8
CYP2D6	A0A1B0GV74
CYP2D6	A0A2L1K0E8
CYP2D6	A0A2L1K0F2
CYP2D6	A0A2L1K0F5
CYP2D6	A0A2L1K0F9
CYP2D6	A0A2L1K0G2
CYP2D6	A0A2L1K0G7
CYP2D6	A0A2L1K0H3
CYP2D6	A0A2L1K0H6
CYP2D6	A0A2L1K0H8
CYP2D6	A0A2L1K0H9
CYP2D6	A0A2L1K0I9
CYP2D6	A0A2L1K0M4
CYP2D6	A9QKR9
CYP2D6	C1ID52
CYP2D6	C1ID54
CYP2D6	C4MDQ5
CYP2D6	D0U5L8
CYP2D6	D3IP03
CYP2D6	D3IP04
CYP2D6	D3IP05
CYP2D6	D5KMQ2
CYP2D6	D5KMR1
CYP2D6	D5KMS0
CYP2D6	D5KMU5
CYP2D6	D5KMU6
CYP2D6	D5KMZ1
CYP2D6	D5KN01
CYP2D6	D5KN10
CYP2D6	D5KN50
CYP2D6	D5KN61
CYP2D6	D5KN64
CYP2D6	D5KNB5
CYP2D6	D5KND2
CYP2D6	E7ENE7
CYP2D6	G9CGD2
CYP2D6	H7BY38
CYP2D6	I1VC92
CYP2D6	I1VC93
CYP2D6	P10635
CYP2D6	Q007T8
CYP2D6	Q007T9
CYP2D6	Q2XND0
CYP2D6	Q2XND2
CYP2D6	Q2XND3
CYP2D6	Q2XND8
CYP2D6	Q38LF9
CYP2D6	Q38LG0
CYP2D6	Q38LG2
CYP2D6	Q3KPF3
CYP2D6	Q6ICD8
CYP2D6	Q6NWU0
CYP2D6	W5QSH4
CYP46A1	G3V366
CYP46A1	H0YJI0
CYP46A1	H0YJU5
CYP46A1	Q9Y6A2
DAOA	A0A024RDW9
DAOA	A0A024RDZ4
DAOA	A2T115
DAOA	M0R0L0
DAOA	M0R2M6
DAOA	M0R2W9
DAOA	P59103
DAOA	Q8IWM3
DAPK1	A0T398
DAPK1	F8WCQ3
