yourlist:M20201204A94466D2655679D1FD8953E075198DA81C43253	Entry
HLA-DQB1	A0A0A7C8H8
HLA-DQB1	A0A0A7C8I0
HLA-DQB1	A0A0A7C8I3
HLA-DQB1	A0A0A7C8S2
HLA-DQB1	A0A0A7C8S7
HLA-DQB1	A0A0A7C8T3
HLA-DQB1	A0A0A7C8T9
HLA-DQB1	A0A0A7C8U4
HLA-DQB1	A0A0A7C8V0
HLA-DQB1	A0A0A7C8V5
HLA-DQB1	A0A0A7C8W1
HLA-DQB1	A0A0A7C8W3
HLA-DQB1	A0A0A7C8W7
HLA-DQB1	A0A0A7C8W8
HLA-DQB1	A0A0A7C8X2
HLA-DQB1	A0A0A7C8X4
HLA-DQB1	A0A0A7C8X8
HLA-DQB1	A0A0A7C8X9
HLA-DQB1	A0A0A7C8Y4
HLA-DQB1	A0A0A7C8Y5
HLA-DQB1	A0A0A7C8Z0
HLA-DQB1	A0A0A7C8Z1
HLA-DQB1	A0A0A7C8Z5
HLA-DQB1	A0A0A7C8Z6
HLA-DQB1	A0A0A7C900
HLA-DQB1	A0A0A7C901
HLA-DQB1	A0A0A7C905
HLA-DQB1	A0A0A7C907
HLA-DQB1	A0A0A7C911
HLA-DQB1	A0A0A7C914
HLA-DQB1	A0A0A7C917
HLA-DQB1	A0A0A7C919
HLA-DQB1	A0A0A7C922
HLA-DQB1	A0A0A7C925
HLA-DQB1	A0A0A7C928
HLA-DQB1	A0A0A7C931
HLA-DQB1	A0A0A7C934
HLA-DQB1	A0A0A7C935
HLA-DQB1	A0A0A7C938
HLA-DQB1	A0A0A7C940
HLA-DQB1	A0A0A7C942
HLA-DQB1	A0A0A7C944
HLA-DQB1	A0A0A7C947
HLA-DQB1	A0A0A7C950
HLA-DQB1	A0A0A7C952
HLA-DQB1	A0A0A7C955
HLA-DQB1	A0A0A7C957
HLA-DQB1	A0A0A7C961
HLA-DQB1	A0A0A7C967
HLA-DQB1	A0A0A7C972
HLA-DQB1	A0A0A7C974
HLA-DQB1	A0A0A7C980
HLA-DQB1	A0A0A7C984
HLA-DQB1	A0A0A7C986
HLA-DQB1	A0A0A7C988
HLA-DQB1	A0A0A7C991
HLA-DQB1	A0A0A7C993
HLA-DQB1	A0A0A7C995
HLA-DQB1	A0A0A7C998
HLA-DQB1	A0A0A7C9A1
HLA-DQB1	A0A0A7C9A5
HLA-DQB1	A0A0A7C9A7
HLA-DQB1	A0A0A7C9B0
HLA-DQB1	A0A0A7C9B3
HLA-DQB1	A0A0A7C9B6
HLA-DQB1	A0A0A7C9B9
HLA-DQB1	A0A0A7C9C0
HLA-DQB1	A0A0A7C9C3
HLA-DQB1	A0A0A7C9C6
HLA-DQB1	A0A0A7C9C9
HLA-DQB1	A0A0A7C9D2
HLA-DQB1	A0A0A7C9D4
HLA-DQB1	A0A0A7C9D5
HLA-DQB1	A0A0A7C9D6
HLA-DQB1	A0A0A7C9D8
HLA-DQB1	A0A0A7C9D9
HLA-DQB1	A0A0A7C9E2
HLA-DQB1	A0A0A7C9E3
HLA-DQB1	A0A0A7C9E4
HLA-DQB1	A0A0A7C9E6
HLA-DQB1	A0A0A7C9E7
HLA-DQB1	A0A0A7C9E8
HLA-DQB1	A0A0A7C9F1
HLA-DQB1	A0A0A7C9F2
HLA-DQB1	A0A0A7C9F3
HLA-DQB1	A0A0A7C9F4
HLA-DQB1	A0A0A7C9F6
HLA-DQB1	A0A0A7C9F7
HLA-DQB1	A0A0A7C9F9
HLA-DQB1	A0A0A7C9G1
HLA-DQB1	A0A0A7C9G3
HLA-DQB1	A0A0A7C9G5
HLA-DQB1	A0A0A7C9G8
HLA-DQB1	A0A0A7C9H0
HLA-DQB1	A0A0A7C9H2
HLA-DQB1	A0A0A7C9H5
HLA-DQB1	A0A0A7C9H7
HLA-DQB1	A0A0A7C9H8
HLA-DQB1	A0A0A7C9I2
HLA-DQB1	A0A0A7C9I4
HLA-DQB1	A0A0A7C9I6
HLA-DQB1	A0A0A7C9I9
HLA-DQB1	A0A0A7C9J1
HLA-DQB1	A0A0A7C9J3
HLA-DQB1	A0A0A7C9J7
HLA-DQB1	A0A0A7C9J8
HLA-DQB1	A0A0A7C9K1
HLA-DQB1	A0A0A7C9K3
HLA-DQB1	A0A0A7C9K5
HLA-DQB1	A0A0A7C9K7
HLA-DQB1	A0A0A7C9K8
HLA-DQB1	A0A0A7C9L2
HLA-DQB1	A0A0A7C9L4
HLA-DQB1	A0A0A7C9L6
HLA-DQB1	A0A0A7C9M1
HLA-DQB1	A0A0A7C9M7
HLA-DQB1	A0A0A7C9N4
HLA-DQB1	A0A0A7C9P0
HLA-DQB1	A0A0A7C9P4
HLA-DQB1	A0A0A7C9Q1
HLA-DQB1	A0A0A7C9Q5
HLA-DQB1	A0A0A7C9R0
HLA-DQB1	A0A0A7C9R5
HLA-DQB1	A0A0A7C9S1
HLA-DQB1	A0A0A7C9T0
HLA-DQB1	A0A0A7C9T7
HLA-DQB1	A0A0A7C9U4
HLA-DQB1	A0A0A7C9W5
HLA-DQB1	A0A0A7C9X5
HLA-DQB1	A0A0A7C9X8
HLA-DQB1	A0A0A7C9Y2
HLA-DQB1	A0A0A7C9Y4
HLA-DQB1	A0A0A7C9Y8
HLA-DQB1	A0A0A7C9Y9
HLA-DQB1	A0A0A7C9Z3
HLA-DQB1	A0A0A7C9Z6
HLA-DQB1	A0A0A7C9Z9
HLA-DQB1	A0A0A7CA02
HLA-DQB1	A0A0A7CA05
HLA-DQB1	A0A0A7CA07
HLA-DQB1	A0A0A7CA10
HLA-DQB1	A0A0A7CA14
HLA-DQB1	A0A0A7CA16
HLA-DQB1	A0A0A7CA17
HLA-DQB1	A0A0A7CA19
HLA-DQB1	A0A0A7CA20
HLA-DQB1	A0A0A7CA22
HLA-DQB1	A0A0A7CA23
HLA-DQB1	A0A0A7CA25
HLA-DQB1	A0A0A7CA26
HLA-DQB1	A0A0A7CA28
HLA-DQB1	A0A0A7CA30
HLA-DQB1	A0A0A7CA31
HLA-DQB1	A0A0A7CA33
HLA-DQB1	A0A0A7CA34
HLA-DQB1	A0A0A7CA39
HLA-DQB1	A0A0A7CA43
HLA-DQB1	A0A0A7CA49
HLA-DQB1	A0A0A7CA53
HLA-DQB1	A0A0A7CA58
HLA-DQB1	A0A0A7CA64
HLA-DQB1	A0A0A7CA68
HLA-DQB1	A0A0A7CA71
HLA-DQB1	A0A0A7CA77
HLA-DQB1	A0A0A7CA81
HLA-DQB1	A0A0A7CA85
HLA-DQB1	A0A0A7CA91
HLA-DQB1	A0A0A7CA95
HLA-DQB1	A0A0A7CAA0
HLA-DQB1	A0A0A7CAA4
HLA-DQB1	A0A0A7CAA7
HLA-DQB1	A0A0A7CAB2
HLA-DQB1	A0A0A7CAB7
HLA-DQB1	A0A0A7CAC3
HLA-DQB1	A0A0A7CAC7
HLA-DQB1	A0A0A7CAE0
HLA-DQB1	A0A0A7CAE6
HLA-DQB1	A0A0A7CAE8
HLA-DQB1	A0A0A7CAE9
HLA-DQB1	A0A0A7CAF0
HLA-DQB1	A0A0A7CAF2
HLA-DQB1	A0A0A7CAF3
HLA-DQB1	A0A0A7CAF6
HLA-DQB1	A0A0A7CAF7
HLA-DQB1	A0A0A7CAF8
HLA-DQB1	A0A0A7CAG0
HLA-DQB1	A0A0A7CAG1
HLA-DQB1	A0A0A7CAG2
HLA-DQB1	A0A0A7CAG4
HLA-DQB1	A0A0A7CAG5
HLA-DQB1	A0A0A7CAG7
HLA-DQB1	A0A0A7CAG8
HLA-DQB1	A0A0A7CAG9
HLA-DQB1	A0A0A7CAH2
HLA-DQB1	A0A0A7CAH4
HLA-DQB1	A0A0A7CAH5
HLA-DQB1	A0A0A7CAH8
HLA-DQB1	A0A0A7CAI0
HLA-DQB1	A0A0A7CAI1
HLA-DQB1	A0A0A7CAI3
HLA-DQB1	A0A0A7CAI5
HLA-DQB1	A0A0A7CAI6
HLA-DQB1	A0A0A7CAI8
HLA-DQB1	A0A0A7CAI9
HLA-DQB1	A0A0A7CAJ0
HLA-DQB1	A0A0A7CAJ1
HLA-DQB1	A0A0A7CAJ2
HLA-DQB1	A0A0A7CAJ4
HLA-DQB1	A0A0A7CAJ6
HLA-DQB1	A0A0A7CAJ8
HLA-DQB1	A0A0A7CAK0
HLA-DQB1	A0A0A7CAK3
HLA-DQB1	A0A0A7CAK9
HLA-DQB1	A0A0A7CAL5
HLA-DQB1	A0A0A7CAM3
HLA-DQB1	A0A0A7CAM9
HLA-DQB1	A0A0A7CAN6
HLA-DQB1	A0A0A7CAP0
HLA-DQB1	A0A0A7CAP4
HLA-DQB1	A0A0A7CAP9
HLA-DQB1	A0A0A7CAQ4
HLA-DQB1	A0A0A7CAQ8
HLA-DQB1	A0A0A7CAR2
HLA-DQB1	A0A0A7CAR6
HLA-DQB1	A0A0A7CAS9
HLA-DQB1	A0A0A7CAT5
HLA-DQB1	A0A0A7CAT9
HLA-DQB1	A0A0A7CAU3
HLA-DQB1	A0A0A7CAU5
HLA-DQB1	A0A0A7CAU8
HLA-DQB1	A0A0A7CAV0
HLA-DQB1	A0A0A7CAV2
HLA-DQB1	A0A0A7CAV5
HLA-DQB1	A0A0A7CAV6
HLA-DQB1	A0A0A7CAV8
HLA-DQB1	A0A0A7CAW0
HLA-DQB1	A0A0A7CAW1
HLA-DQB1	A0A0A7CAW4
HLA-DQB1	A0A0A7CAW7
HLA-DQB1	A0A0A7CAW9
HLA-DQB1	A0A0A7CAX1
HLA-DQB1	A0A0A7CAX2
HLA-DQB1	A0A0A7CAX4
HLA-DQB1	A0A0A7CAX5
HLA-DQB1	A0A0A7CAX7
HLA-DQB1	A0A0A7CAX9
HLA-DQB1	A0A0A7CAY1
HLA-DQB1	A0A0A7UX20
HLA-DQB1	A0A0A7UXE4
HLA-DQB1	A0A0A8KWS4
HLA-DQB1	A0A0A8TVS9
HLA-DQB1	A0A0A8TW00
HLA-DQB1	A0A0A8WFP6
HLA-DQB1	A0A0A8WG47
HLA-DQB1	A0A0A8WJX4
HLA-DQB1	A0A0B7J2D2
HLA-DQB1	A0A0C5BKK9
HLA-DQB1	A0A0D5XQ77
HLA-DQB1	A0A0D6K964
HLA-DQB1	A0A0D6K9D6
HLA-DQB1	A0A0D6K9L9
HLA-DQB1	A0A0E3DC93
HLA-DQB1	A0A0E3DC95
HLA-DQB1	A0A0E3DC97
HLA-DQB1	A0A0E3DC99
HLA-DQB1	A0A0E3DCA2
HLA-DQB1	A0A0E3DCA4
HLA-DQB1	A0A0E3DCA6
HLA-DQB1	A0A0E3DCA9
HLA-DQB1	A0A0E3DCB1
HLA-DQB1	A0A0E3DCB3
HLA-DQB1	A0A0E3DCB5
HLA-DQB1	A0A0E3DCB7
HLA-DQB1	A0A0E3DCB9
HLA-DQB1	A0A0E3DCC1
HLA-DQB1	A0A0E3DCC3
HLA-DQB1	A0A0E3DCC5
HLA-DQB1	A0A0E3DCC7
HLA-DQB1	A0A0E3DCC9
HLA-DQB1	A0A0E3DCD1
HLA-DQB1	A0A0E3DCD3
HLA-DQB1	A0A0E3DCD5
HLA-DQB1	A0A0E3DCD7
HLA-DQB1	A0A0E3DCE0
HLA-DQB1	A0A0E3DCE2
HLA-DQB1	A0A0E3DCE4
HLA-DQB1	A0A0E3DCE6
HLA-DQB1	A0A0E3DCF5
HLA-DQB1	A0A0E3DCF6
HLA-DQB1	A0A0E3DCF7
HLA-DQB1	A0A0E3DCF8
HLA-DQB1	A0A0E3DCF9
HLA-DQB1	A0A0E3DCG0
HLA-DQB1	A0A0E3DCG1
HLA-DQB1	A0A0E3DCG2
HLA-DQB1	A0A0E3DCG3
HLA-DQB1	A0A0E3DCG5
HLA-DQB1	A0A0E3DCG6
HLA-DQB1	A0A0E3DCG8
HLA-DQB1	A0A0E3DCH1
HLA-DQB1	A0A0E3DCH3
HLA-DQB1	A0A0E3DCH5
HLA-DQB1	A0A0E3DCH7
HLA-DQB1	A0A0E3DCI0
HLA-DQB1	A0A0E3DCI3
HLA-DQB1	A0A0E3DCI5
HLA-DQB1	A0A0E3DCI7
HLA-DQB1	A0A0E3DCI9
HLA-DQB1	A0A0E3DCJ1
HLA-DQB1	A0A0E3DCJ3
HLA-DQB1	A0A0E3DCJ5
HLA-DQB1	A0A0E3DCJ7
HLA-DQB1	A0A0E3DCZ4
HLA-DQB1	A0A0E3DCZ7
HLA-DQB1	A0A0E3DCZ9
HLA-DQB1	A0A0E3DD01
HLA-DQB1	A0A0E3DD03
HLA-DQB1	A0A0E3DD05
HLA-DQB1	A0A0E3DD06
HLA-DQB1	A0A0E3DD07
HLA-DQB1	A0A0E3DD09
HLA-DQB1	A0A0E3DD10
HLA-DQB1	A0A0E3DD13
HLA-DQB1	A0A0E3DD15
HLA-DQB1	A0A0E3DD17
HLA-DQB1	A0A0E3DD19
HLA-DQB1	A0A0E3DD22
HLA-DQB1	A0A0E3DD26
HLA-DQB1	A0A0E3DD28
HLA-DQB1	A0A0E3DD30
HLA-DQB1	A0A0E3DD34
HLA-DQB1	A0A0E3DD37
HLA-DQB1	A0A0E3DD41
HLA-DQB1	A0A0E3DD43
HLA-DQB1	A0A0E3DD47
HLA-DQB1	A0A0E3DD50
HLA-DQB1	A0A0E3DD52
HLA-DQB1	A0A0E3DD55
HLA-DQB1	A0A0E3DDI5
HLA-DQB1	A0A0E3DDI9
HLA-DQB1	A0A0E3DDJ2
HLA-DQB1	A0A0E3DDJ5
HLA-DQB1	A0A0E3DDJ8
HLA-DQB1	A0A0E3DDK0
HLA-DQB1	A0A0E3DDK4
HLA-DQB1	A0A0E3DDK6
HLA-DQB1	A0A0E3DDK8
HLA-DQB1	A0A0E3DDL1
HLA-DQB1	A0A0E3DDL3
HLA-DQB1	A0A0E3DDL5
HLA-DQB1	A0A0E3DDL6
HLA-DQB1	A0A0E3DDL7
HLA-DQB1	A0A0E3DDL8
HLA-DQB1	A0A0E3DDL9
HLA-DQB1	A0A0E3DDM0
HLA-DQB1	A0A0E3DDM1
HLA-DQB1	A0A0E3DDM2
HLA-DQB1	A0A0E3DDM3
HLA-DQB1	A0A0E3DDM4
HLA-DQB1	A0A0E3DDM5
HLA-DQB1	A0A0E3DDM6
HLA-DQB1	A0A0E3DDM7
HLA-DQB1	A0A0E3DDM8
HLA-DQB1	A0A0E3DDM9
HLA-DQB1	A0A0E3DDN0
HLA-DQB1	A0A0E3DDN1
HLA-DQB1	A0A0E3DDN2
HLA-DQB1	A0A0E3DDN3
HLA-DQB1	A0A0E3DDN4
HLA-DQB1	A0A0E3DDN5
HLA-DQB1	A0A0E3DDN6
HLA-DQB1	A0A0E3DDN7
HLA-DQB1	A0A0E3DDN8
HLA-DQB1	A0A0E3DDN9
HLA-DQB1	A0A0E3DDP0
HLA-DQB1	A0A0E3DDP1
HLA-DQB1	A0A0E3DDP2
HLA-DQB1	A0A0E3DDP4
HLA-DQB1	A0A0E3DDP6
HLA-DQB1	A0A0E3DDP9
HLA-DQB1	A0A0E3DDQ0
HLA-DQB1	A0A0E3DDQ1
HLA-DQB1	A0A0E3DDQ2
HLA-DQB1	A0A0E3DDQ3
HLA-DQB1	A0A0E3DDQ4
HLA-DQB1	A0A0E3DDQ5
HLA-DQB1	A0A0E3DDQ7
HLA-DQB1	A0A0E3DDQ8
HLA-DQB1	A0A0E3DDR0
HLA-DQB1	A0A0F6TKU0
HLA-DQB1	A0A0F6TL75
HLA-DQB1	A0A0F7DGU6
HLA-DQB1	A0A0F7IMK7
HLA-DQB1	A0A0F7INL4
HLA-DQB1	A0A0F7NJ08
HLA-DQB1	A0A0G2R0Z1
HLA-DQB1	A0A0G2R0Z4
HLA-DQB1	A0A0G2R0Z5
HLA-DQB1	A0A0G2R0Z6
HLA-DQB1	A0A0G2R0Z8
HLA-DQB1	A0A0G2R0Z9
HLA-DQB1	A0A0G2R101
HLA-DQB1	A0A0G2R103
HLA-DQB1	A0A0G2R104
HLA-DQB1	A0A0G2R105
HLA-DQB1	A0A0G2R107
HLA-DQB1	A0A0G2R109
HLA-DQB1	A0A0G2R111
HLA-DQB1	A0A0G2R112
HLA-DQB1	A0A0G2R114
HLA-DQB1	A0A0G2R115
HLA-DQB1	A0A0G2R116
HLA-DQB1	A0A0G2R137
HLA-DQB1	A0A0G2R141
HLA-DQB1	A0A0G2R145
HLA-DQB1	A0A0G2R149
HLA-DQB1	A0A0G2R154
HLA-DQB1	A0A0G2R159
HLA-DQB1	A0A0G2R165
HLA-DQB1	A0A0G2R167
HLA-DQB1	A0A0G2R1F4
HLA-DQB1	A0A0G2R1F8
HLA-DQB1	A0A0G2R1G2
HLA-DQB1	A0A0G2R1G6
HLA-DQB1	A0A0G2R1H1
HLA-DQB1	A0A0G2R1H2
HLA-DQB1	A0A0G2R1H4
HLA-DQB1	A0A0G2R1H6
HLA-DQB1	A0A0G2R1R4
HLA-DQB1	A0A0G2R1R5
HLA-DQB1	A0A0G2R1R6
HLA-DQB1	A0A0G2R1R7
HLA-DQB1	A0A0G2R1R8
HLA-DQB1	A0A0G2R1S0
HLA-DQB1	A0A0G2R1S2
HLA-DQB1	A0A0G2R1S3
HLA-DQB1	A0A0G2R1S5
HLA-DQB1	A0A0G4KC62
HLA-DQB1	A0A0G4PYL3
HLA-DQB1	A0A0G4PYM8
HLA-DQB1	A0A0G4PYP0
HLA-DQB1	A0A0G4PYP9
HLA-DQB1	A0A0G4PYQ3
HLA-DQB1	A0A0G4PYQ8
HLA-DQB1	A0A0G4PYV0
HLA-DQB1	A0A0G4PYV7
HLA-DQB1	A0A0G4PYW1
HLA-DQB1	A0A0G4PYW5
HLA-DQB1	A0A0G4PYW8
HLA-DQB1	A0A0G4PYX6
HLA-DQB1	A0A0G4PYY1
HLA-DQB1	A0A0G4PYZ5
HLA-DQB1	A0A0G4PZ00
HLA-DQB1	A0A0G4PZ06
HLA-DQB1	A0A0G4PZ10
HLA-DQB1	A0A0G4PZ15
HLA-DQB1	A0A0G4PZ19
HLA-DQB1	A0A0G4PZ24
HLA-DQB1	A0A0G4PZH2
HLA-DQB1	A0A0G4PZH7
HLA-DQB1	A0A0G4PZI2
HLA-DQB1	A0A0G4PZI7
HLA-DQB1	A0A0G4PZJ0
HLA-DQB1	A0A0G4PZJ2
HLA-DQB1	A0A0G4PZJ4
HLA-DQB1	A0A0G4PZJ7
HLA-DQB1	A0A0G4PZJ8
HLA-DQB1	A0A0G4PZK1
HLA-DQB1	A0A0G4PZK5
HLA-DQB1	A0A0G4PZK8
HLA-DQB1	A0A0G4PZL1
HLA-DQB1	A0A0G4PZL5
HLA-DQB1	A0A0H5DLL7
HLA-DQB1	A0A0I9N852
HLA-DQB1	A0A0K0KRT1
HLA-DQB1	A0A0K0KRT6
HLA-DQB1	A0A0K0KRT9
HLA-DQB1	A0A0K0KRU0
HLA-DQB1	A0A0K0KRU4
HLA-DQB1	A0A0K0KRU5
HLA-DQB1	A0A0K0KRU9
HLA-DQB1	A0A0K0KRV1
HLA-DQB1	A0A0K0KRV4
HLA-DQB1	A0A0K0KRV5
HLA-DQB1	A0A0K0KRV9
HLA-DQB1	A0A0K0KRW0
HLA-DQB1	A0A0K0KRW4
HLA-DQB1	A0A0K0KRW5
HLA-DQB1	A0A0K0KRW9
HLA-DQB1	A0A0K0KRX0
HLA-DQB1	A0A0K0KRX3
HLA-DQB1	A0A0K0KRX7
HLA-DQB1	A0A0K0KRX8
HLA-DQB1	A0A0K0KRY0
HLA-DQB1	A0A0K0KRY6
HLA-DQB1	A0A0K0KS58
HLA-DQB1	A0A0K0KS62
HLA-DQB1	A0A0K0KS66
HLA-DQB1	A0A0K0KS70
HLA-DQB1	A0A0K0KS74
HLA-DQB1	A0A0K0KS77
HLA-DQB1	A0A0K0KS81
HLA-DQB1	A0A0K0KS85
HLA-DQB1	A0A0K0KS86
HLA-DQB1	A0A0K0KS90
HLA-DQB1	A0A0K0KS91
HLA-DQB1	A0A0K0KS94
HLA-DQB1	A0A0K0KS96
HLA-DQB1	A0A0K0KSA0
HLA-DQB1	A0A0K0KSA5
HLA-DQB1	A0A0K0KSB0
HLA-DQB1	A0A0K0KSB3
HLA-DQB1	A0A0K0KSB8
HLA-DQB1	A0A0K0KSC3
HLA-DQB1	A0A0K0KSC8
HLA-DQB1	A0A0K0KSW5
HLA-DQB1	A0A0K0KSW9
HLA-DQB1	A0A0K0KSX4
HLA-DQB1	A0A0K0KSX6
HLA-DQB1	A0A0K0KSY0
HLA-DQB1	A0A0K0KSY6
HLA-DQB1	A0A0K0KSZ0
HLA-DQB1	A0A0K0KSZ6
HLA-DQB1	A0A0K0KT01
HLA-DQB1	A0A0K0KT06
HLA-DQB1	A0A0K1NWY9
HLA-DQB1	A0A0K3AWD6
HLA-DQB1	A0A0M3LB18
HLA-DQB1	A0A0M3LB29
HLA-DQB1	A0A0M3LB76
HLA-DQB1	A0A0M3LB85
HLA-DQB1	A0A0M3LB99
HLA-DQB1	A0A0M3LBD6
HLA-DQB1	A0A0M3LBG1
HLA-DQB1	A0A0M3LBH1
HLA-DQB1	A0A0M3LBJ5
HLA-DQB1	A0A0M3LCI7
HLA-DQB1	A0A0M3LCY0
HLA-DQB1	A0A0M3LD65
HLA-DQB1	A0A0M4KE65
HLA-DQB1	A0A0M4KLN0
HLA-DQB1	A0A0M5LA70
HLA-DQB1	A0A0M7B520
HLA-DQB1	A0A0N6W7K5
HLA-DQB1	A0A0N6W7K6
HLA-DQB1	A0A0N6W7K7
HLA-DQB1	A0A0N6W7K8
HLA-DQB1	A0A0N6W7K9
HLA-DQB1	A0A0N6W7L0
HLA-DQB1	A0A0N6W7L1
HLA-DQB1	A0A0N7A4G8
HLA-DQB1	A0A0N7A4G9
HLA-DQB1	A0A0N7A4H2
HLA-DQB1	A0A0N7A4H3
HLA-DQB1	A0A0N7A4H4
HLA-DQB1	A0A0N7A4H5
HLA-DQB1	A0A0N7A4H6
HLA-DQB1	A0A0N7A4H9
HLA-DQB1	A0A0N7A4I1
HLA-DQB1	A0A0N7A4I2
HLA-DQB1	A0A0N7A4I3
HLA-DQB1	A0A0N7A4I4
HLA-DQB1	A0A0N7A4I5
HLA-DQB1	A0A0N7A4I7
HLA-DQB1	A0A0N7A4I8
HLA-DQB1	A0A0N7A4I9
HLA-DQB1	A0A0N7A4J1
HLA-DQB1	A0A0N7A4J2
HLA-DQB1	A0A0N7A4J3
HLA-DQB1	A0A0N7A4J4
HLA-DQB1	A0A0N7A4J6
HLA-DQB1	A0A0N7A4J7
HLA-DQB1	A0A0N7A4J8
HLA-DQB1	A0A0N7A4K0
HLA-DQB1	A0A0N7A4K2
HLA-DQB1	A0A0N7A4K3
HLA-DQB1	A0A0N7A4K6
HLA-DQB1	A0A0N7A4K8
HLA-DQB1	A0A0N7A4K9
HLA-DQB1	A0A0N7A4L0
HLA-DQB1	A0A0N7A4W2
HLA-DQB1	A0A0N7A4X1
HLA-DQB1	A0A0N7A4X8
HLA-DQB1	A0A0N7A4Y3
HLA-DQB1	A0A0N7A4Y4
HLA-DQB1	A0A0N7A4Y9
HLA-DQB1	A0A0N7A4Z0
HLA-DQB1	A0A0N7A4Z4
HLA-DQB1	A0A0N7A4Z7
HLA-DQB1	A0A0N7A500
HLA-DQB1	A0A0N7A501
HLA-DQB1	A0A0N7A502
HLA-DQB1	A0A0N7A507
HLA-DQB1	A0A0N7A513
HLA-DQB1	A0A0N7A6E2
HLA-DQB1	A0A0N7A6F0
HLA-DQB1	A0A0N7A6F8
HLA-DQB1	A0A0N7A6H0
HLA-DQB1	A0A0N7A6H9
HLA-DQB1	A0A0N7A6I7
HLA-DQB1	A0A0N7A6J6
HLA-DQB1	A0A0N7A6M4
HLA-DQB1	A0A0N7A6N2
HLA-DQB1	A0A0N7A6P0
HLA-DQB1	A0A0N7A6P6
HLA-DQB1	A0A0N7A6Q3
HLA-DQB1	A0A0N7A6R0
HLA-DQB1	A0A0N7A6R7
HLA-DQB1	A0A0N7HXV5
HLA-DQB1	A0A0N9FH34
HLA-DQB1	A0A0N9MI03
HLA-DQB1	A0A0P0D198
HLA-DQB1	A0A0S2C3G8
HLA-DQB1	A0A0U2W1X8
HLA-DQB1	A0A0U3BY57
HLA-DQB1	A0A0U5IHV9
HLA-DQB1	A0A0U5IHX4
HLA-DQB1	A0A0U5IHY9
HLA-DQB1	A0A0U5II17
HLA-DQB1	A0A0U5KJH1
HLA-DQB1	A0A0U5KK97
HLA-DQB1	A0A0U5KKB2
HLA-DQB1	A0A0U5KKD5
HLA-DQB1	A0A0U5KKF1
HLA-DQB1	A0A0U5KKG6
HLA-DQB1	A0A0U5KKK7
HLA-DQB1	A0A0U5KKN5
HLA-DQB1	A0A0U5PUF3
HLA-DQB1	A0A0U5PUG6
HLA-DQB1	A0A0U5PUH9
HLA-DQB1	A0A0U5PUY1
HLA-DQB1	A0A0U5PUZ6
HLA-DQB1	A0A0U5PV19
HLA-DQB1	A0A0U5PXX7
HLA-DQB1	A0A0U5PZ67
HLA-DQB1	A0A0U5PZ81
HLA-DQB1	A0A0U5PZA8
HLA-DQB1	A0A0U5PZD8
HLA-DQB1	A0A0U5PZE4
HLA-DQB1	A0A0U5PZI2
HLA-DQB1	A0A0U5PZJ8
HLA-DQB1	A0A0U5Q0E6
HLA-DQB1	A0A0U5Q0F6
HLA-DQB1	A0A0U5Q0F9
HLA-DQB1	A0A0U5Q0H1
HLA-DQB1	A0A0U5Q0H2
HLA-DQB1	A0A0U5Q0I5
HLA-DQB1	A0A0U5Q0L5
HLA-DQB1	A0A0U5Q0N0
HLA-DQB1	A0A0U5Q120
HLA-DQB1	A0A0U5Q141
HLA-DQB1	A0A0U5Q1W4
HLA-DQB1	A0A0U5Q1Z2
HLA-DQB1	A0A0U5Q200
HLA-DQB1	A0A0U5Q208
HLA-DQB1	A0A0U5Q218
HLA-DQB1	A0A0U5Q221
HLA-DQB1	A0A0U5Q247
HLA-DQB1	A0A0U5Q3H4
HLA-DQB1	A0A0U5QLV7
HLA-DQB1	A0A0U5QLX2
HLA-DQB1	A0A0X7YJ51
HLA-DQB1	A0A0X7YJ61
HLA-DQB1	A0A0X7YJ68
HLA-DQB1	A0A0X7YJ72
HLA-DQB1	A0A0X7YJ81
HLA-DQB1	A0A0X7YK00
HLA-DQB1	A0A0X7YK09
HLA-DQB1	A0A0X7YK17
HLA-DQB1	A0A0X7YK21
HLA-DQB1	A0A0X7YK26
HLA-DQB1	A0A0X7YL69
HLA-DQB1	A0A0X7YL77
HLA-DQB1	A0A0X7YL86
HLA-DQB1	A0A0X7YL91
HLA-DQB1	A0A0X7YLB1
HLA-DQB1	A0A0X7YLB9
HLA-DQB1	A0A0X7YLC7
HLA-DQB1	A0A0X7YLD6
HLA-DQB1	A0A0X7YLE9
HLA-DQB1	A0A0X7YLF8
HLA-DQB1	A0A0X7YLG9
HLA-DQB1	A0A0X7YLH9
HLA-DQB1	A0A0X7YNE8
HLA-DQB1	A0A0X7YNF4
HLA-DQB1	A0A0X7YNG1
HLA-DQB1	A0A0X7YNG6
HLA-DQB1	A0A0X7YNH1
HLA-DQB1	A0A0X7YRI6
HLA-DQB1	A0A0X7YRJ2
HLA-DQB1	A0A0X7YRJ7
HLA-DQB1	A0A0X7YRK3
HLA-DQB1	A0A0X7YU19
HLA-DQB1	A0A0X7YU26
HLA-DQB1	A0A0X7YU37
HLA-DQB1	A0A0X7YU48
HLA-DQB1	A0A0X7YVF5
HLA-DQB1	A0A0X7YVG3
HLA-DQB1	A0A0X7YVH0
HLA-DQB1	A0A0X7YVH7
HLA-DQB1	A0A0X7YYR2
HLA-DQB1	A0A0X7YYR9
HLA-DQB1	A0A0X7YYT1
HLA-DQB1	A0A0X7YYT9
HLA-DQB1	A0A0X8XVY1
HLA-DQB1	A0A0X8XX83
