Entrez.Gene,Symbol,metaZscore,metaPval,effect,Pval.adj,Bonferroni,maxFC,avgFC,BraakR,atrophyR
80727,TTYH3,-5.298309157,1.17E-07,--?---,1.41E-06,0.002750185,0.85,0.88,,
6217,RPS16,5.297762802,1.17E-07,++?+++,1.41E-06,0.002758425,1.52,1.17,0.5911,0.4893
441771,,5.297193556,1.18E-07,???++?,1.42E-06,0.002767034,1.65,1.42,,
55324,ABCF3,-5.296734973,1.18E-07,--?---,1.42E-06,0.00277399,0.69,0.87,,-0.5032
91408,BTF3L4,-5.296225433,1.18E-07,--?---,1.42E-06,0.002781737,0.52,0.81,,
283209,PGM2L1,-5.294701132,1.19E-07,--?---,1.43E-06,0.00280504,0.46,0.75,-0.6355,-0.5304
10493,VAT1,5.293799729,1.20E-07,++?++-,1.44E-06,0.002818909,1.25,1.13,0.699,0.579
1303,COL12A1,-5.292803963,1.20E-07,--?---,1.45E-06,0.002834307,0.64,0.83,,-0.4766
460,ASTN1,-5.292089621,1.21E-07,--?--+,1.45E-06,0.002845403,0.81,0.88,-0.6282,-0.5703
254427,PROSER2,5.292031385,1.21E-07,++?+++,1.45E-06,0.002846309,1.30,1.13,,
4688,NCF2,5.291843851,1.21E-07,?+?+++,1.45E-06,0.00284923,1.57,1.26,,
400690,,-5.291722312,1.21E-07,???--?,1.45E-06,0.002851125,0.77,0.83,,
348654,GEN1,-5.290030454,1.22E-07,--?---,1.47E-06,0.002877625,0.70,0.85,,
7155,TOP2B,-5.289547058,1.23E-07,-+----,1.47E-06,0.00288524,0.76,0.89,,
138311,FAM69B,-5.289215086,1.23E-07,+-?---,1.47E-06,0.002890481,0.85,0.93,,-0.5156
107,ADCY1,-5.288967623,1.23E-07,-----+,1.47E-06,0.002894394,0.57,0.82,-0.5944,-0.5508
7035,TFPI,5.288855339,1.23E-07,++?+++,1.47E-06,0.002896171,1.43,1.20,,
7430,EZR,5.288478909,1.23E-07,+++++-,1.47E-06,0.002902136,4.86,1.50,,0.4644
4007,LMO6,5.28842015,1.23E-07,???+++,1.47E-06,0.002903068,1.08,1.06,,
84232,MAF1,5.288164606,1.24E-07,++?+++,1.48E-06,0.002907126,1.38,1.14,0.6521,0.5246
4897,NRCAM,-5.287465807,1.24E-07,--?---,1.48E-06,0.00291825,0.77,0.83,-0.6302,-0.5223
340371,NRBP2,-5.286970654,1.24E-07,+----+,1.48E-06,0.002926157,0.77,0.95,,
54862,CC2D1A,5.286874547,1.24E-07,++?+++,1.48E-06,0.002927695,1.58,1.17,,
1634,DCN,5.284937678,1.26E-07,++?+++,1.50E-06,0.00295884,2.06,1.38,,
378884,NHLRC1,-5.284831159,1.26E-07,???---,1.50E-06,0.002960562,0.70,0.84,,-0.5158
338773,TMEM119,5.284358492,1.26E-07,++?++-,1.50E-06,0.002968216,1.28,1.13,,
54954,FAM120C,5.282893977,1.27E-07,++?++-,1.51E-06,0.002992051,1.20,1.07,,0.4494
51440,HPCAL4,-5.282625175,1.27E-07,+-----,1.51E-06,0.002996446,0.73,0.88,,-0.512
55611,OTUB1,-5.282516088,1.27E-07,------,1.52E-06,0.002998231,0.59,0.83,-0.6924,-0.6165
1536,CYBB,5.282137808,1.28E-07,-+++++,1.52E-06,0.00300443,1.42,1.17,,
266722,HS6ST3,-5.281525911,1.28E-07,--?---,1.52E-06,0.003014484,0.46,0.77,-0.6132,-0.5208
781,CACNA2D1,-5.281470276,1.28E-07,--?---,1.52E-06,0.0030154,0.77,0.84,-0.6175,-0.492
79183,TTPAL,-5.281459923,1.28E-07,--?---,1.52E-06,0.00301557,0.69,0.83,-0.5946,
55349,CHDH,5.280820613,1.29E-07,++?+++,1.53E-06,0.003026112,1.93,1.32,0.6474,0.5269
55245,UQCC,-5.279537404,1.30E-07,--?---,1.54E-06,0.003047381,0.61,0.84,-0.6111,-0.5179
29015,SLC43A3,5.279186328,1.30E-07,++?+++,1.54E-06,0.003053225,1.37,1.19,0.6161,0.4758
360203,GLT6D1,5.278866422,1.30E-07,???+++,1.54E-06,0.003058559,1.19,1.11,,
